AG.LND.AGRI.K2	Agricultural land (sq. km)
EG.ELC.ACCS.UR.ZS	Access to electricity, urban (% of urban population)
EG.ELC.ACCS.ZS	Access to electricity (% of population)
EG.ELC.COAL.ZS	Electricity production from coal sources (% of total)
EG.ELC.FOSL.ZS	Electricity production from oil, gas and coal sources (% of total)
EG.ELC.HYRO.ZS	Electricity production from hydroelectric sources (% of total)
EG.ELC.LOSS.ZS	Electric power transmission and distribution losses (% of output)
EG.ELC.NGAS.ZS	Electricity production from natural gas sources (% of total)
EG.ELC.NUCL.ZS	Electricity production from nuclear sources (% of total)
EG.ELC.PETR.ZS	Electricity production from oil sources (% of total)
EG.ELC.RNEW.ZS	Renewable electricity output (% of total electricity output)
EG.ELC.RNWX.KH	Electricity production from renewable sources, excluding hydroelectric (kWh)
EG.ELC.RNWX.ZS	Electricity production from renewable sources, excluding hydroelectric (% of total)
EG.FEC.RNEW.ZS	Renewable energy consumption (% of total final energy consumption)
EG.IMP.CONS.ZS	Energy imports, net (% of energy use)
EG.NSF.ACCS.RU.ZS	Access to non-solid fuel, rural (% of rural population)
EG.NSF.ACCS.UR.ZS	Access to non-solid fuel, urban (% of urban population)
EG.NSF.ACCS.ZS	Access to non-solid fuel (% of population)
EG.USE.COMM.GD.PP.KD	Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)
EG.USE.ELEC.KH.PC	Electric power consumption (kWh per capita)
EG.USE.PCAP.KG.OE	Energy use (kg of oil equivalent per capita)
EN.ATM.CO2E.EG.ZS	CO2 intensity (kg per kg of oil equivalent energy use)
EN.ATM.CO2E.GF.KT	CO2 emissions from gaseous fuel consumption (kt)
EN.ATM.CO2E.GF.ZS	CO2 emissions from gaseous fuel consumption (% of total)
EN.ATM.CO2E.KD.GD	CO2 emissions (kg per 2010 US$ of GDP)
EN.ATM.CO2E.KT	CO2 emissions (kt)
EN.ATM.CO2E.LF.KT	CO2 emissions from liquid fuel consumption (kt)
EN.ATM.CO2E.LF.ZS	CO2 emissions from liquid fuel consumption (% of total)
EN.ATM.CO2E.PC	CO2 emissions (metric tons per capita)
EN.ATM.CO2E.PP.GD	CO2 emissions (kg per PPP $ of GDP)
EN.ATM.CO2E.PP.GD.KD	CO2 emissions (kg per 2011 PPP $ of GDP)
EN.ATM.CO2E.SF.KT	CO2 emissions from solid fuel consumption (kt)
EN.ATM.CO2E.SF.ZS	CO2 emissions from solid fuel consumption (% of total)
EN.ATM.GHGO.KT.CE	Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)
EN.ATM.GHGO.ZG	Other greenhouse gas emissions (% change from 1990)
EN.ATM.GHGT.KT.CE	Total greenhouse gas emissions (kt of CO2 equivalent)
EN.ATM.GHGT.ZG	Total greenhouse gas emissions (% change from 1990)
EN.ATM.HFCG.KT.CE	HFC gas emissions (thousand metric tons of CO2 equivalent)
EN.ATM.METH.AG.KT.CE	Agricultural methane emissions (thousand metric tons of CO2 equivalent)
EN.ATM.METH.AG.ZS	Agricultural methane emissions (% of total)
EN.ATM.METH.EG.KT.CE	Methane emissions in energy sector (thousand metric tons of CO2 equivalent)
EN.ATM.METH.EG.ZS	Energy related methane emissions (% of total)
EN.ATM.METH.KT.CE	Methane emissions (kt of CO2 equivalent)
EN.ATM.METH.ZG	Methane emissions (% change from 1990)
EN.ATM.NOXE.AG.KT.CE	Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)
EN.ATM.NOXE.AG.ZS	Agricultural nitrous oxide emissions (% of total)
EN.ATM.NOXE.EG.KT.CE	Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)
EN.ATM.NOXE.EG.ZS	Nitrous oxide emissions in energy sector (% of total)
EN.ATM.NOXE.KT.CE	Nitrous oxide emissions (thousand metric tons of CO2 equivalent)
EN.ATM.NOXE.ZG	Nitrous oxide emissions (% change from 1990)
EN.ATM.PFCG.KT.CE	PFC gas emissions (thousand metric tons of CO2 equivalent)
EN.ATM.PM25.MC.M3	PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)
EN.ATM.PM25.MC.ZS	PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)
EN.ATM.SF6G.KT.CE	SF6 gas emissions (thousand metric tons of CO2 equivalent)
EN.CLC.DRSK.XQ	Disaster risk reduction progress score (1-5 scale; 5=best)
EN.CLC.GHGR.MT.CE	GHG net emissions/removals by LUCF (Mt of CO2 equivalent)
EN.CLC.MDAT.ZS	Droughts, floods, extreme temperatures (% of population, average 1990-2009)
EN.POP.EL5M.RU.ZS	Rural population living in areas where elevation is below 5 meters (% of total population)
EN.POP.EL5M.UR.ZS	Urban population living in areas where elevation is below 5 meters (% of total population)
EN.POP.EL5M.ZS	Population living in areas where elevation is below 5 meters (% of total population)
EN.POP.SLUM.UR.ZS	Population living in slums (% of urban population)
EN.URB.MCTY.TL.ZS	Population in urban agglomerations of more than 1 million (% of total population)
EP.PMP.DESL.CD	Pump price for diesel fuel (US$ per liter)
EP.PMP.SGAS.CD	Pump price for gasoline (US$ per liter)
ER.H2O.FWAG.ZS	Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)
ER.H2O.FWDM.ZS	Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)
ER.H2O.FWIN.ZS	Annual freshwater withdrawals, industry (% of total freshwater withdrawal)
ER.H2O.FWTL.K3	Annual freshwater withdrawals, total (billion cubic meters)
ER.H2O.FWTL.ZS	Annual freshwater withdrawals, total (% of internal resources)
ER.H2O.INTR.K3	Renewable internal freshwater resources, total (billion cubic meters)
ER.H2O.INTR.PC	Renewable internal freshwater resources per capita (cubic meters)
ER.LND.PTLD.ZS	Terrestrial protected areas (% of total land area)
ER.MRN.PTMR.ZS	Marine protected areas (% of territorial waters)
ER.PTD.TOTL.ZS	Terrestrial and marine protected areas (% of total territorial area)
FI.RES.TOTL.CD	Total reserves (includes gold, current US$)
FI.RES.TOTL.DT.ZS	Total reserves (% of total external debt)
FI.RES.TOTL.MO	Total reserves in months of imports
FI.RES.XGLD.CD	Total reserves minus gold (current US$)
FP.CPI.TOTL.ZG	Inflation, consumer prices (annual %)
FS.AST.PRVT.GD.ZS	Domestic credit to private sector (% of GDP)
GC.DOD.TOTL.GD.ZS	Central government debt, total (% of GDP)
GC.REV.XGRT.GD.ZS	Revenue, excluding grants (% of GDP)
GC.TAX.EXPT.ZS	Taxes on exports (% of tax revenue)
GC.TAX.IMPT.ZS	Customs and other import duties (% of tax revenue)
GC.XPN.TOTL.GD.ZS	Expense (% of GDP)
IC.BUS.EASE.XQ	Ease of doing business index (1=most business-friendly regulations)
IC.CRD.INFO.XQ	Depth of credit information index (0=low to 8=high)
IC.CRD.PRVT.ZS	Private credit bureau coverage (% of adults)
IC.CRD.PUBL.ZS	Public credit registry coverage (% of adults)
IC.CUS.DURS.EX	Average time to clear exports through customs (days)
IC.ELC.DURS	Delay in obtaining an electrical connection (days)
IC.ELC.TIME	Time required to get electricity (days)
IC.EXP.COST.CD	Cost to export (US$ per container)
IC.EXP.CSBC.CD	Cost to export, border compliance (US$)
IC.EXP.CSDC.CD	Cost to export, documentary compliance (US$)
IC.EXP.DOCS	Documents to export (number)
IC.EXP.DURS	Time to export (days)
IC.EXP.TMBC	Time to export, border compliance (hours)
IC.EXP.TMDC	Time to export, documentary compliance (hours)
IC.FRM.BNKS.ZS	Firms using banks to finance investment (% of firms)
IC.FRM.FEMM.ZS	Firms with female top manager (% of firms)
IC.FRM.FEMO.ZS	Firms with female participation in ownership (% of firms)
IC.FRM.OUTG.ZS	Value lost due to electrical outages (% of sales for affected firms)
IC.IMP.COST.CD	Cost to import (US$ per container)
IC.IMP.CSBC.CD	Cost to import, border compliance (US$)
IC.IMP.CSDC.CD	Cost to import, documentary compliance (US$)
IC.IMP.DOCS	Documents to import (number)
IC.IMP.DURS	Time to import (days)
IC.IMP.TMBC	Time to import, border compliance (hours)
IC.IMP.TMDC	Time to import, documentary compliance (hours)
IC.LGL.CRED.XQ	Strength of legal rights index (0=weak to 12=strong)
IC.TAX.DURS	Time to prepare and pay taxes (hours)
IC.TAX.PAYM	Tax payments (number)
IC.TAX.TOTL.CP.ZS	Total tax rate (% of commercial profits)
IE.PPI.ENGY.CD	Investment in energy with private participation (current US$)
IE.PPI.TELE.CD	Investment in telecoms with private participation (current US$)
IE.PPI.TRAN.CD	Investment in transport with private participation (current US$)
IE.PPI.WATR.CD	Investment in water and sanitation with private participation (current US$)
IQ.CPA.PUBS.XQ	CPIA public sector management and institutions cluster average (1=low to 6=high)
IS.ROD.PAVE.ZS	Roads, paved (% of total roads)
IS.VEH.NVEH.P3	Motor vehicles (per 1,000 people)
IS.VEH.PCAR.P3	Passenger cars (per 1,000 people)
IS.VEH.ROAD.K1	Vehicles (per km of road)
LP.EXP.DURS.MD	Lead time to export, median case (days)
LP.IMP.DURS.MD	Lead time to import, median case (days)
LP.LPI.CUST.XQ	Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)
LP.LPI.INFR.XQ	Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)
LP.LPI.ITRN.XQ	Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)
LP.LPI.LOGS.XQ	Logistics performance index: Competence and quality of logistics services (1=low to 5=high)
LP.LPI.OVRL.XQ	Logistics performance index: Overall (1=low to 5=high)
LP.LPI.TIME.XQ	Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high)
LP.LPI.TRAC.XQ	Logistics performance index: Ability to track and trace consignments (1=low to 5=high)
MS.MIL.MPRT.KD	Arms imports (SIPRI trend indicator values)
MS.MIL.XPRT.KD	Arms exports (SIPRI trend indicator values)
NE.EXP.GNFS.CD	Exports of goods and services (current US$)
NE.EXP.GNFS.KD	Exports of goods and services (constant 2010 US$)
NE.EXP.GNFS.KD.ZG	Exports of goods and services (annual % growth)
NE.EXP.GNFS.ZS	Exports of goods and services (% of GDP)
NE.IMP.GNFS.CD	Imports of goods and services (current US$)
NE.IMP.GNFS.KD	Imports of goods and services (constant 2010 US$)
NE.IMP.GNFS.KD.ZG	Imports of goods and services (annual % growth)
NE.IMP.GNFS.ZS	Imports of goods and services (% of GDP)
NE.RSB.GNFS.CD	External balance on goods and services (current US$)
NE.RSB.GNFS.ZS	External balance on goods and services (% of GDP)
NE.TRD.GNFS.ZS	Trade (% of GDP)
NV.AGR.TOTL.CD	Agriculture, forestry, and fishing, value added (current US$)
NV.AGR.TOTL.ZS	Agriculture, forestry, and fishing, value added (% of GDP)
NY.ADJ.AEDU.CD	Adjusted savings: education expenditure (current US$)
NY.ADJ.AEDU.GN.ZS	Adjusted savings: education expenditure (% of GNI)
NY.ADJ.DCO2.CD	Adjusted savings: carbon dioxide damage (current US$)
NY.ADJ.DCO2.GN.ZS	Adjusted savings: carbon dioxide damage (% of GNI)
NY.ADJ.DFOR.CD	Adjusted savings: net forest depletion (current US$)
NY.ADJ.DFOR.GN.ZS	Adjusted savings: net forest depletion (% of GNI)
NY.ADJ.DKAP.CD	Adjusted savings: consumption of fixed capital (current US$)
NY.ADJ.DKAP.GN.ZS	Adjusted savings: consumption of fixed capital (% of GNI)
NY.ADJ.DMIN.CD	Adjusted savings: mineral depletion (current US$)
NY.ADJ.DMIN.GN.ZS	Adjusted savings: mineral depletion (% of GNI)
NY.ADJ.DNGY.CD	Adjusted savings: energy depletion (current US$)
NY.ADJ.DNGY.GN.ZS	Adjusted savings: energy depletion (% of GNI)
NY.ADJ.DPEM.CD	Adjusted savings: particulate emission damage (current US$)
NY.ADJ.DPEM.GN.ZS	Adjusted savings: particulate emission damage (% of GNI)
NY.ADJ.DRES.GN.ZS	Adjusted savings: natural resources depletion (% of GNI)
NY.ADJ.ICTR.GN.ZS	Adjusted savings: gross savings (% of GNI)
NY.ADJ.NNAT.CD	Adjusted savings: net national savings (current US$)
NY.ADJ.NNAT.GN.ZS	Adjusted savings: net national savings (% of GNI)
NY.ADJ.SVNG.CD	Adjusted net savings, including particulate emission damage (current US$)
NY.ADJ.SVNG.GN.ZS	Adjusted net savings, including particulate emission damage (% of GNI)
NY.ADJ.SVNX.CD	Adjusted net savings, excluding particulate emission damage (current US$)
NY.ADJ.SVNX.GN.ZS	Adjusted net savings, excluding particulate emission damage (% of GNI)
NY.EXP.CAPM.KN	Exports as a capacity to import (constant LCU)
NY.GDP.MINR.RT.ZS	Mineral rents (% of GDP)
NY.GDP.NGAS.RT.ZS	Natural gas rents (% of GDP)
NY.GDP.PETR.RT.ZS	Oil rents (% of GDP)
NY.GDP.TOTL.RT.ZS	Total natural resources rents (% of GDP)
NY.GNP.MKTP.CD	GNI (current US$)
PA.NUS.ATLS	DEC alternative conversion factor (LCU per US$)
SE.ADT.1524.LT.FE.ZS	Literacy rate, youth female (% of females ages 15-24)
SE.ADT.1524.LT.FM.ZS	Literacy rate, youth (ages 15-24), gender parity index (GPI)
SE.ADT.1524.LT.MA.ZS	Literacy rate, youth male (% of males ages 15-24)
SE.ADT.LITR.FE.ZS	Literacy rate, adult female (% of females ages 15 and above)
SE.ADT.LITR.MA.ZS	Literacy rate, adult male (% of males ages 15 and above)
SE.ENR.PRIM.FM.ZS	School enrollment, primary (gross), gender parity index (GPI)
SE.ENR.PRSC.FM.ZS	School enrollment, primary and secondary (gross), gender parity index (GPI)
SE.ENR.SECO.FM.ZS	School enrollment, secondary (gross), gender parity index (GPI)
SE.ENR.TERT.FM.ZS	School enrollment, tertiary (gross), gender parity index (GPI)
SE.PRE.ENRR.FE	School enrollment, preprimary, female (% gross)
SE.PRE.ENRR.MA	School enrollment, preprimary, male (% gross)
SE.PRM.CMPT.FE.ZS	Primary completion rate, female (% of relevant age group)
SE.PRM.CMPT.MA.ZS	Primary completion rate, male (% of relevant age group)
SE.PRM.CMPT.ZS	Primary completion rate, total (% of relevant age group)
SE.PRM.CUAT.FE.ZS	Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)
SE.PRM.CUAT.MA.ZS	Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)
SE.PRM.CUAT.ZS	Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)
SE.PRM.ENRL.FE.ZS	Primary education, pupils (% female)
SE.PRM.ENRR.FE	School enrollment, primary, female (% gross)
SE.PRM.ENRR.MA	School enrollment, primary, male (% gross)
SE.PRM.GINT.FE.ZS	Gross intake ratio in first grade of primary education, female (% of relevant age group)
SE.PRM.GINT.MA.ZS	Gross intake ratio in first grade of primary education, male (% of relevant age group)
SE.PRM.NENR.FE	School enrollment, primary, female (% net)
SE.PRM.NENR.MA	School enrollment, primary, male (% net)
SE.PRM.NINT.FE.ZS	Net intake rate in grade 1, female (% of official school-age population)
SE.PRM.NINT.MA.ZS	Net intake rate in grade 1, male (% of official school-age population)
SE.PRM.PRS5.FE.ZS	Persistence to grade 5, female (% of cohort)
SE.PRM.PRS5.MA.ZS	Persistence to grade 5, male (% of cohort)
SE.PRM.PRSL.FE.ZS	Persistence to last grade of primary, female (% of cohort)
SE.PRM.PRSL.MA.ZS	Persistence to last grade of primary, male (% of cohort)
SE.PRM.REPT.FE.ZS	Repeaters, primary, female (% of female enrollment)
SE.PRM.REPT.MA.ZS	Repeaters, primary, male (% of male enrollment)
SE.PRM.TCAQ.FE.ZS	Trained teachers in primary education, female (% of female teachers)
SE.PRM.TCAQ.MA.ZS	Trained teachers in primary education, male (% of male teachers)
SE.PRM.TCHR.FE.ZS	Primary education, teachers (% female)
SE.PRM.TENR.FE	Adjusted net enrollment rate, primary, female (% of primary school age children)
SE.PRM.TENR.MA	Adjusted net enrollment rate, primary, male (% of primary school age children)
SE.PRM.UNER.FE	Children out of school, primary, female
SE.PRM.UNER.MA	Children out of school, primary, male
SE.SEC.CUAT.LO.FE.ZS	Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)
SE.SEC.CUAT.LO.MA.ZS	Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)
SE.SEC.CUAT.LO.ZS	Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)
SE.SEC.CUAT.PO.FE.ZS	Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)
SE.SEC.CUAT.PO.MA.ZS	Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)
SE.SEC.CUAT.PO.ZS	Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)
SE.SEC.CUAT.UP.FE.ZS	Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)
SE.SEC.CUAT.UP.MA.ZS	Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)
SE.SEC.CUAT.UP.ZS	Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)
SE.SEC.ENRL.FE.ZS	Secondary education, pupils (% female)
SE.SEC.ENRL.GC.FE.ZS	Secondary education, general pupils (% female)
SE.SEC.ENRL.VO.FE.ZS	Secondary education, vocational pupils (% female)
SE.SEC.ENRR.FE	School enrollment, secondary, female (% gross)
SE.SEC.ENRR.MA	School enrollment, secondary, male (% gross)
SE.SEC.NENR.FE	School enrollment, secondary, female (% net)
SE.SEC.NENR.MA	School enrollment, secondary, male (% net)
SE.SEC.PROG.FE.ZS	Progression to secondary school, female (%)
SE.SEC.PROG.MA.ZS	Progression to secondary school, male (%)
SE.SEC.TCHR.FE.ZS	Secondary education, teachers (% female)
SE.TER.CUAT.BA.FE.ZS	Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)
SE.TER.CUAT.BA.MA.ZS	Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)
SE.TER.CUAT.BA.ZS	Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)
SE.TER.CUAT.DO.FE.ZS	Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)
SE.TER.CUAT.DO.MA.ZS	Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)
SE.TER.CUAT.DO.ZS	Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)
SE.TER.CUAT.MS.FE.ZS	Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)
SE.TER.CUAT.MS.MA.ZS	Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)
SE.TER.CUAT.MS.ZS	Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)
SE.TER.CUAT.ST.FE.ZS	Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)
SE.TER.CUAT.ST.MA.ZS	Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)
SE.TER.CUAT.ST.ZS	Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)
SE.TER.ENRR.FE	School enrollment, tertiary, female (% gross)
SE.TER.ENRR.MA	School enrollment, tertiary, male (% gross)
SG.GEN.PARL.ZS	Proportion of seats held by women in national parliaments (%)
SG.JOB.NOPN.EQ	Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no)
SG.LAW.CHMR	Law prohibits or invalidates child or early marriage (1=yes; 0=no)
SG.LAW.EQRM.WK	Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no)
SG.LAW.LEVE.PU	Law mandates paid or unpaid maternity leave (1=yes; 0=no)
SG.LAW.NODC.HR	Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)
SG.LEG.DVAW	Legislation exists on domestic violence (1=yes; 0=no)
SG.MMR.LEVE.EP	Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no)
SG.NOD.CONS	Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no)
SG.VAW.1549.ZS	Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49)
SG.VAW.ARGU.ZS	Women who believe a husband is justified in beating his wife when she argues with him (%)
SG.VAW.BURN.ZS	Women who believe a husband is justified in beating his wife when she burns the food (%)
SG.VAW.GOES.ZS	Women who believe a husband is justified in beating his wife when she goes out without telling him (%)
SG.VAW.NEGL.ZS	Women who believe a husband is justified in beating his wife when she neglects the children (%)
SG.VAW.REAS.ZS	Women who believe a husband is justified in beating his wife (any of five reasons) (%)
SG.VAW.REFU.ZS	Women who believe a husband is justified in beating his wife when she refuses sex with him (%)
SH.CON.1524.FE.ZS	Condom use, population ages 15-24, female (% of females ages 15-24)
SH.CON.1524.MA.ZS	Condom use, population ages 15-24, male (% of males ages 15-24)
SH.DYN.AIDS.FE.ZS	Women's share of population ages 15+ living with HIV (%)
SH.DYN.AIDS.ZS	Prevalence of HIV, total (% of population ages 15-49)
SH.DYN.CHLD.FE	Mortality rate, female child (per 1,000 female children age one)
SH.DYN.CHLD.MA	Mortality rate, male child (per 1,000 male children age one)
SH.DYN.MORT	Mortality rate, under-5 (per 1,000 live births)
SH.H2O.BASW.RU.ZS	People using at least basic drinking water services, rural (% of rural population)
SH.H2O.BASW.UR.ZS	People using at least basic drinking water services, urban (% of urban population)
SH.H2O.BASW.ZS	People using at least basic drinking water services (% of population)
SH.H2O.SAFE.RU.ZS	Improved water source, rural (% of rural population with access)
SH.H2O.SAFE.UR.ZS	Improved water source, urban (% of urban population with access)
SH.H2O.SAFE.ZS	Improved water source (% of population with access)
SH.H2O.SMDW.RU.ZS	People using safely managed drinking water services, rural (% of rural population)
SH.H2O.SMDW.UR.ZS	People using safely managed drinking water services, urban (% of urban population)
SH.H2O.SMDW.ZS	People using safely managed drinking water services (% of population)
SH.HIV.1524.FE.ZS	Prevalence of HIV, female (% ages 15-24)
SH.HIV.1524.MA.ZS	Prevalence of HIV, male (% ages 15-24)
SH.MED.CMHW.P3	Community health workers (per 1,000 people)
SH.MLR.INCD	Notified cases of malaria (per 100,000 people)
SH.MMR.RISK	Lifetime risk of maternal death (1 in: rate varies by country)
SH.MMR.RISK.ZS	Lifetime risk of maternal death (%)
SH.PRV.SMOK.FE	Smoking prevalence, females (% of adults)
SH.PRV.SMOK.MA	Smoking prevalence, males (% of adults)
SH.STA.ACSN	Improved sanitation facilities (% of population with access)
SH.STA.ACSN.RU	Improved sanitation facilities, rural (% of rural population with access)
SH.STA.ACSN.UR	Improved sanitation facilities, urban (% of urban population with access)
SH.STA.AIRP.P5	Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)
SH.STA.ANVC.ZS	Pregnant women receiving prenatal care (%)
SH.STA.BASS.RU.ZS	People using at least basic sanitation services, rural (% of rural population)
SH.STA.BASS.UR.ZS	People using at least basic sanitation services, urban (% of urban population)
SH.STA.BASS.ZS	People using at least basic sanitation services (% of population)
SH.STA.BRTC.ZS	Births attended by skilled health staff (% of total)
